"IP","Categories","ReportDate","Comment"
"210.110.70.16","4,19","2024-11-28T14:10:48+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"49.228.226.208","4,19","2024-11-28T14:10:36+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"96.93.124.209","4,19","2024-11-28T14:10:21+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"188.130.240.136","4,19","2024-11-28T14:10:21+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"109.230.92.50","4,19","2024-11-28T14:10:22+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"34.171.207.156","4,19","2024-11-28T14:10:22+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"185.44.76.189","4,19","2024-11-28T14:10:22+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"2605:6404:c7:5222:eae3:b0a3:3120:107e","4,19","2024-11-28T14:10:22+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"165.155.170.134","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"47.76.97.214","4,19","2024-11-28T14:10:22+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"165.155.163.37","4,19","2024-11-28T14:10:55+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"181.199.60.29","4,19","2024-11-28T14:10:25+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"176.226.228.48","4,19","2024-11-28T14:10:52+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"41.59.249.98","4,19","2024-11-28T14:10:38+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"165.155.162.41","4,19","2024-11-28T14:10:38+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"103.28.114.157","4,19","2024-11-28T14:10:23+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"1.53.225.95","4,19","2024-11-28T14:10:23+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"38.183.146.183","4,19","2024-11-28T14:10:23+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"183.220.149.24","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"213.152.186.163","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"103.127.220.9","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"49.49.94.147","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"86.96.7.81","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"182.253.57.21","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"141.57.56.38","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"165.155.169.123","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"27.34.65.105","4,19","2024-11-28T14:10:24+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"5.107.230.156","4,19","2024-11-28T14:10:25+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"118.68.118.130","4,19","2024-11-28T14:10:25+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"24.191.208.91","4,19","2024-11-28T14:10:25+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"165.155.172.43","4,19","2024-11-28T14:10:48+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"24.52.135.71","4,19","2024-11-28T14:10:26+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"14.192.211.25","4,19","2024-11-28T14:11:00+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"89.109.43.125","4,19","2024-11-28T14:10:26+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"165.155.162.51","4,19","2024-11-28T14:10:27+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"185.86.214.44","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"190.196.45.11","4,19","2024-11-28T14:10:27+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"94.125.53.109","4,19","2024-11-28T14:10:27+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"165.255.22.237","4,19","2024-11-28T14:10:27+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"103.197.74.209","4,19","2024-11-28T14:10:27+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"81.16.251.161","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"2a01:4f8:1c1b:a406::1","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"176.106.62.216","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"1.32.59.217","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"188.166.183.226","4,19","2024-11-28T14:10:44+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"23.109.212.165","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"186.57.151.73","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"49.207.218.138","4,19","2024-11-28T14:10:54+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"165.155.171.25","4,19","2024-11-28T14:10:28+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"86.21.27.252","4,19","2024-11-28T14:11:06+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"89.213.44.43","4,19","2024-11-28T14:10:40+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"4.155.2.13","4,19","2024-11-28T14:10:39+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"67.226.223.47","4,19","2024-11-28T14:10:40+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"180.178.98.94","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"38.52.221.170","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"113.88.10.176","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"165.155.170.9","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"196.221.200.55","4,19","2024-11-28T14:10:29+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"160.86.242.23","4,19","2024-11-28T14:10:30+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"143.208.211.158","4,19","2024-11-28T14:10:41+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"204.199.129.38","4,19","2024-11-28T14:10:31+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"165.155.168.132","4,19","2024-11-28T14:10:46+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"103.211.13.74","4,19","2024-11-28T14:10:42+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"186.152.114.34","4,19","2024-11-28T14:10:31+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"92.92.181.167","4,19","2024-11-28T14:10:31+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"38.156.93.254","4,19","2024-11-28T14:10:31+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"5.187.9.10","4,19","2024-11-28T14:10:31+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"89.46.249.252","4,19","2024-11-28T14:10:31+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"165.155.164.16","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"165.155.160.34","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"74.255.219.229","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"2a12:5940:76d6::2","4,19","2024-11-28T14:10:46+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"123.194.22.71","4,19","2024-11-28T14:10:44+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"5.30.223.183","4,19","2024-11-28T14:11:00+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"113.162.46.233","4,19","2024-11-28T14:10:54+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"171.227.95.183","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"180.252.234.242","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"107.189.8.240","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"88.150.230.186","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
"149.87.144.34","4,19","2024-11-28T14:10:32+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"181.199.59.226","4,19","2024-11-28T14:10:47+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
"197.251.193.48","4,19","2024-11-28T14:10:33+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"106.51.30.249","4,19","2024-11-28T14:10:33+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
"2600:70ff:e866:5ff:cee0:c91e:bc7f:e3c6","4,19","2024-11-28T14:10:33+01:00","DDoS Attack (210.00 rps): HTTP requests trying to impersonate browsers. UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36"
